read_name,chrom,start,end,strand,gff_start,gff_end,gff_strand,product,overlap_bp,sample
3_YCZ4B8_18,NC_014532.2,667495,669574,+,666690,667610,-,DMT family transporter,115,YCZ4B8_18_m.S.00235.overlaps
3_YCZ4B8_18,NC_014532.2,667495,669574,+,667718,669367,-,BCCT family transporter,1650,YCZ4B8_18_m.S.00235.overlaps
3_YCZ4B8_18,NC_014532.2,667495,669574,+,669563,671095,-,choline-sulfatase,12,YCZ4B8_18_m.S.00235.overlaps
7_YCZ4B8_18,NC_014532.2,667495,669574,+,666690,667610,-,DMT family transporter,115,YCZ4B8_18_m.S.00235.overlaps
7_YCZ4B8_18,NC_014532.2,667495,669574,+,667718,669367,-,BCCT family transporter,1650,YCZ4B8_18_m.S.00235.overlaps
7_YCZ4B8_18,NC_014532.2,667495,669574,+,669563,671095,-,choline-sulfatase,12,YCZ4B8_18_m.S.00235.overlaps
4_YCZ4B8_18,NC_014532.2,667495,668699,-,666690,667610,-,DMT family transporter,115,YCZ4B8_18_m.S.00235.overlaps
4_YCZ4B8_18,NC_014532.2,667495,668699,-,667718,669367,-,BCCT family transporter,982,YCZ4B8_18_m.S.00235.overlaps
9_YCZ4B8_18,NC_014532.2,667495,668544,-,666690,667610,-,DMT family transporter,115,YCZ4B8_18_m.S.00235.overlaps
9_YCZ4B8_18,NC_014532.2,667495,668544,-,667718,669367,-,BCCT family transporter,827,YCZ4B8_18_m.S.00235.overlaps
0_YCZ4B8_18,NC_014532.2,667499,667763,-,666690,667610,-,DMT family transporter,111,YCZ4B8_18_m.S.00235.overlaps
0_YCZ4B8_18,NC_014532.2,667499,667763,-,667718,669367,-,BCCT family transporter,46,YCZ4B8_18_m.S.00235.overlaps
2_YCZ4B8_18,NC_014532.2,667643,669568,-,667718,669367,-,BCCT family transporter,1650,YCZ4B8_18_m.S.00235.overlaps
2_YCZ4B8_18,NC_014532.2,667643,669568,-,669563,671095,-,choline-sulfatase,6,YCZ4B8_18_m.S.00235.overlaps
0_YCZ4B8_18,NC_014532.2,667803,669554,-,667718,669367,-,BCCT family transporter,1564,YCZ4B8_18_m.S.00235.overlaps
9_YCZ4B8_18,NC_014532.2,668567,669574,-,667718,669367,-,BCCT family transporter,800,YCZ4B8_18_m.S.00235.overlaps
9_YCZ4B8_18,NC_014532.2,668567,669574,-,669563,671095,-,choline-sulfatase,12,YCZ4B8_18_m.S.00235.overlaps
4_YCZ4B8_18,NC_014532.2,669189,669554,-,667718,669367,-,BCCT family transporter,178,YCZ4B8_18_m.S.00235.overlaps
