read_name,chrom,start,end,strand,gff_start,gff_end,gff_strand,product,overlap_bp,sample
8_YCZ4B8_17,NC_014532.2,667101,669543,+,666690,667610,-,DMT family transporter,509,YCZ4B8_17_m.S.00231.overlaps
8_YCZ4B8_17,NC_014532.2,667101,669543,+,667718,669367,-,BCCT family transporter,1650,YCZ4B8_17_m.S.00231.overlaps
23_YCZ4B8_17,NC_014532.2,667101,667918,+,666690,667610,-,DMT family transporter,509,YCZ4B8_17_m.S.00231.overlaps
23_YCZ4B8_17,NC_014532.2,667101,667918,+,667718,669367,-,BCCT family transporter,201,YCZ4B8_17_m.S.00231.overlaps
9_YCZ4B8_17,NC_014532.2,667101,668311,-,666690,667610,-,DMT family transporter,509,YCZ4B8_17_m.S.00231.overlaps
9_YCZ4B8_17,NC_014532.2,667101,668311,-,667718,669367,-,BCCT family transporter,594,YCZ4B8_17_m.S.00231.overlaps
15_YCZ4B8_17,NC_014532.2,667101,668979,-,666690,667610,-,DMT family transporter,509,YCZ4B8_17_m.S.00231.overlaps
15_YCZ4B8_17,NC_014532.2,667101,668979,-,667718,669367,-,BCCT family transporter,1262,YCZ4B8_17_m.S.00231.overlaps
25_YCZ4B8_17,NC_014532.2,667101,669278,-,666690,667610,-,DMT family transporter,509,YCZ4B8_17_m.S.00231.overlaps
25_YCZ4B8_17,NC_014532.2,667101,669278,-,667718,669367,-,BCCT family transporter,1561,YCZ4B8_17_m.S.00231.overlaps
33_YCZ4B8_17,NC_014532.2,667101,667417,-,666690,667610,-,DMT family transporter,316,YCZ4B8_17_m.S.00231.overlaps
17_YCZ4B8_17,NC_014532.2,667103,667984,-,666690,667610,-,DMT family transporter,507,YCZ4B8_17_m.S.00231.overlaps
17_YCZ4B8_17,NC_014532.2,667103,667984,-,667718,669367,-,BCCT family transporter,267,YCZ4B8_17_m.S.00231.overlaps
33_YCZ4B8_17,NC_014532.2,667568,668819,-,666690,667610,-,DMT family transporter,42,YCZ4B8_17_m.S.00231.overlaps
33_YCZ4B8_17,NC_014532.2,667568,668819,-,667718,669367,-,BCCT family transporter,1102,YCZ4B8_17_m.S.00231.overlaps
23_YCZ4B8_17,NC_014532.2,667996,669543,+,667718,669367,-,BCCT family transporter,1371,YCZ4B8_17_m.S.00231.overlaps
17_YCZ4B8_17,NC_014532.2,668006,669543,-,667718,669367,-,BCCT family transporter,1361,YCZ4B8_17_m.S.00231.overlaps
9_YCZ4B8_17,NC_014532.2,668345,669543,-,667718,669367,-,BCCT family transporter,1022,YCZ4B8_17_m.S.00231.overlaps
0_YCZ4B8_17,NC_014532.2,924175,926271,+,924326,924619,+,hypothetical protein,294,YCZ4B8_17_m.S.00231.overlaps
0_YCZ4B8_17,NC_014532.2,924175,926271,+,924722,926212,-,sodium/proline symporter PutP,1491,YCZ4B8_17_m.S.00231.overlaps
5_YCZ4B8_17,NC_014532.2,924175,926271,+,924326,924619,+,hypothetical protein,294,YCZ4B8_17_m.S.00231.overlaps
5_YCZ4B8_17,NC_014532.2,924175,926271,+,924722,926212,-,sodium/proline symporter PutP,1491,YCZ4B8_17_m.S.00231.overlaps
7_YCZ4B8_17,NC_014532.2,924175,924891,+,924326,924619,+,hypothetical protein,294,YCZ4B8_17_m.S.00231.overlaps
7_YCZ4B8_17,NC_014532.2,924175,924891,+,924722,926212,-,sodium/proline symporter PutP,170,YCZ4B8_17_m.S.00231.overlaps
