seqid,start,end,strand,length,product
NC_014532.2,228,1694,+,1467,chromosomal replication initiator protein DnaA
NC_014532.2,1766,2869,+,1104,DNA polymerase III subunit beta
NC_014532.2,2939,4054,+,1116,DNA replication/repair protein RecF
NC_014532.2,4066,6486,+,2421,DNA topoisomerase (ATP-hydrolyzing) subunit B
NC_014532.2,6677,7237,-,561,"D-glycero-beta-D-manno-heptose 1,7-bisphosphate 7-phosphatase"
NC_014532.2,7497,8498,-,1002,NAD-dependent epimerase
NC_014532.2,8710,9795,+,1086,glycosyltransferase
NC_014532.2,9857,11146,-,1290,glycosyltransferase
NC_014532.2,11276,13342,-,2067,glycine--tRNA ligase subunit beta
NC_014532.2,13345,14307,-,963,glycine--tRNA ligase subunit alpha
NC_014532.2,14403,15359,+,957,ADP-glyceromanno-heptose 6-epimerase
NC_014532.2,15352,16368,+,1017,lipopolysaccharide heptosyltransferase II
NC_014532.2,16400,18064,-,1665,sulfatase-like hydrolase/transferase
NC_014532.2,18054,18821,-,768,glycosyltransferase family 2 protein
NC_014532.2,18818,19903,-,1086,glycosyltransferase family 9 protein
NC_014532.2,19943,21085,+,1143,glycosyltransferase family 4 protein
NC_014532.2,21061,21771,-,711,3-deoxy-D-manno-octulosonic acid kinase
NC_014532.2,21770,22867,+,1098,glycosyltransferase family 9 protein
NC_014532.2,22857,24287,+,1431,bifunctional D-glycero-beta-D-manno-heptose-7-phosphate kinase/D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase HldE
NC_014532.2,24287,25582,+,1296,lipid IV(A) 3-deoxy-D-manno-octulosonic acid transferase
NC_014532.2,25595,26269,-,675,ribose-5-phosphate isomerase RpiA
NC_014532.2,26458,27978,+,1521,"threonine ammonia-lyase, biosynthetic"
NC_014532.2,28442,29062,-,621,5-formyltetrahydrofolate cyclo-ligase
NC_014532.2,29304,29603,-,300,cell division protein ZapA
NC_014532.2,29736,30317,+,582,UPF0149 family protein
NC_014532.2,30352,31692,+,1341,aminopeptidase P N-terminal domain-containing protein
NC_014532.2,31758,32981,+,1224,2-octaprenyl-6-methoxyphenyl hydroxylase
NC_014532.2,33018,34253,+,1236,UbiH/UbiF/VisC/COQ6 family ubiquinone biosynthesis hydroxylase
NC_014532.2,34266,35549,-,1284,S41 family peptidase
NC_014532.2,35654,36811,-,1158,murein hydrolase activator EnvC
NC_014532.2,36808,38382,-,1575,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase"
NC_014532.2,38591,39013,+,423,rhodanese-like domain-containing protein
NC_014532.2,39061,39576,+,516,protein-export chaperone SecB
NC_014532.2,39603,40349,+,747,16S rRNA (uracil(1498)-N(3))-methyltransferase
NC_014532.2,40354,41094,-,741,FadR/GntR family transcriptional regulator
NC_014532.2,41348,42322,+,975,TRAP transporter substrate-binding protein
NC_014532.2,42391,42945,+,555,TRAP transporter small permease
NC_014532.2,42942,44222,+,1281,TRAP transporter large permease
NC_014532.2,44237,45268,+,1032,4-hydroxythreonine-4-phosphate dehydrogenase PdxA
NC_014532.2,45289,46461,+,1173,L-rhamnonate dehydratase
NC_014532.2,46470,47462,+,993,AraD1 family protein
NC_014532.2,47583,48542,-,960,LysR family transcriptional regulator
NC_014532.2,48753,49886,+,1134,iron-containing alcohol dehydrogenase
NC_014532.2,50121,51098,+,978,tripartite tricarboxylate transporter substrate binding protein
NC_014532.2,51123,51587,+,465,tripartite tricarboxylate transporter TctB family protein
NC_014532.2,51591,53105,+,1515,tripartite tricarboxylate transporter permease
NC_014532.2,53102,54157,+,1056,Ldh family oxidoreductase
NC_014532.2,54183,55079,+,897,NAD(P)-dependent oxidoreductase
NC_014532.2,55145,56116,-,972,GntR family transcriptional regulator
NC_014532.2,56167,57696,-,1530,UxaA family hydrolase
