read_name,chrom,start,end,strand,gff_start,gff_end,gff_strand,product,overlap_bp,sample
3_YCZ4B8_15,NC_014532.2,667495,669574,+,666690,667610,-,DMT family transporter,115,YCZ4B8_15_m.S.00223.overlaps
3_YCZ4B8_15,NC_014532.2,667495,669574,+,667718,669367,-,BCCT family transporter,1650,YCZ4B8_15_m.S.00223.overlaps
3_YCZ4B8_15,NC_014532.2,667495,669574,+,669563,671095,-,choline-sulfatase,12,YCZ4B8_15_m.S.00223.overlaps
7_YCZ4B8_15,NC_014532.2,667495,669574,+,666690,667610,-,DMT family transporter,115,YCZ4B8_15_m.S.00223.overlaps
7_YCZ4B8_15,NC_014532.2,667495,669574,+,667718,669367,-,BCCT family transporter,1650,YCZ4B8_15_m.S.00223.overlaps
7_YCZ4B8_15,NC_014532.2,667495,669574,+,669563,671095,-,choline-sulfatase,12,YCZ4B8_15_m.S.00223.overlaps
2_YCZ4B8_15,NC_014532.2,667495,669574,-,666690,667610,-,DMT family transporter,115,YCZ4B8_15_m.S.00223.overlaps
2_YCZ4B8_15,NC_014532.2,667495,669574,-,667718,669367,-,BCCT family transporter,1650,YCZ4B8_15_m.S.00223.overlaps
2_YCZ4B8_15,NC_014532.2,667495,669574,-,669563,671095,-,choline-sulfatase,12,YCZ4B8_15_m.S.00223.overlaps
4_YCZ4B8_15,NC_014532.2,667495,668128,-,666690,667610,-,DMT family transporter,115,YCZ4B8_15_m.S.00223.overlaps
4_YCZ4B8_15,NC_014532.2,667495,668128,-,667718,669367,-,BCCT family transporter,411,YCZ4B8_15_m.S.00223.overlaps
10_YCZ4B8_15,NC_014532.2,667495,669574,-,666690,667610,-,DMT family transporter,115,YCZ4B8_15_m.S.00223.overlaps
10_YCZ4B8_15,NC_014532.2,667495,669574,-,667718,669367,-,BCCT family transporter,1650,YCZ4B8_15_m.S.00223.overlaps
10_YCZ4B8_15,NC_014532.2,667495,669574,-,669563,671095,-,choline-sulfatase,12,YCZ4B8_15_m.S.00223.overlaps
8_YCZ4B8_15,NC_014532.2,667516,668337,-,666690,667610,-,DMT family transporter,94,YCZ4B8_15_m.S.00223.overlaps
8_YCZ4B8_15,NC_014532.2,667516,668337,-,667718,669367,-,BCCT family transporter,620,YCZ4B8_15_m.S.00223.overlaps
4_YCZ4B8_15,NC_014532.2,668164,669529,-,667718,669367,-,BCCT family transporter,1203,YCZ4B8_15_m.S.00223.overlaps
8_YCZ4B8_15,NC_014532.2,668383,669574,-,667718,669367,-,BCCT family transporter,984,YCZ4B8_15_m.S.00223.overlaps
8_YCZ4B8_15,NC_014532.2,668383,669574,-,669563,671095,-,choline-sulfatase,12,YCZ4B8_15_m.S.00223.overlaps
1_YCZ4B8_15,NC_014532.2,668927,669438,+,667718,669367,-,BCCT family transporter,440,YCZ4B8_15_m.S.00223.overlaps
